puzzle,category,date
VANNA AND SNOW WHITE,Same Name,12/23/88
BURNING ISSUE,Thing,12/23/88
EVERYTHING'S UP TO DATE IN KANSAS CITY,Quotation,12/9/88*
BASEBALL CARDS,Things,12/9/88*
THEY NEVER KNEW WHAT HIT THEM,Phrase,12/9/88*
JEWELRY AND CARDBOARD BOX,Same Name,12/9/88*
MAKING INROADS,Phrase,12/9/88*
SUNDAY BRUNCH,Event,12/13/88
IN CHRONOLOGICAL ORDER,Phrase,12/13/88
GO AHEAD MAKE MY DAY,Quotation,12/13/88
TOM AND GREEN THUMB,Same Name,12/13/88
CAIN AND ABEL,People,1/12/89
TOTALLY AWESOME,Phrase,1/12/89
EASTMAN KODAK COMPANY,Thing,1/12/89
WORLD-CLASS ATHLETE,Person,1/12/89
CHINESE FOOD,Thing,1/12/89
WILD ANIMALS,Things,1/12/89
STOP THE MUSIC,Phrase,1/10/89
RUGGED INDIVIDUALIST,Person,1/10/89
WE HAVE WAYS OF MAKING YOU TALK,Phrase,1/10/89
GEOGRAPHIC BOUNDARIES,Things,1/10/89
WALK DON'T RUN,Phrase,12/15/88*
WORKING UNDER ADVERSE CONDITIONS,Phrase,12/15/88*
TV AND INDIAN GUIDE,Same Name,12/15/88*
AT EACH OTHER'S THROATS,Phrase,12/15/88*
JUST AROUND THE CORNER,Phrase,12/16/88
HARD-BOILED AND ROTTEN EGG,Same Name,12/16/88
EXPECT THE UNEXPECTED,Phrase,12/16/88
NATIONAL SECURITY ADVISOR,Occupation,12/16/88
DOCTOR'S DIAGNOSIS,Thing,1/11/89
GERMAN AND CYBILL SHEPHERD,Same Name,1/11/89
CATCHING THE RED EYE,Event,1/11/89
INSIDE INFORMATION,Thing,1/11/89
NEWARK NEW JERSEY,Place,1/11/89
TED KOPPEL,Person,1/13/89*
MY HAT'S OFF TO YOU,Phrase,1/13/89*
SYNONYMS AND ANTONYMS,Things,1/13/89*
RECORDING STUDIO,Place,1/13/89*
A DIME A DOZEN,Phrase,1/13/89*
DAVY CROCKETT,Person,12/12/88
STRONG-ARM TACTICS,Phrase,12/12/88
IRISH BROGUE,Thing,12/12/88
GRASP THE SITUATION,Phrase,12/12/88
DON'T QUIBBLE,Phrase,1/9/89
MATHEMATICAL PROBLEM,Thing,1/9/89
THE BOARDWALK IN ATLANTIC CITY,Place,1/9/89
PHYSICAL THERAPIST,Occupation,1/9/89
SPENCER AND DICK TRACY,Same Name,1/16/89*
EAST SIDE WEST SIDE ALL AROUND THE TOWN,Quotation,1/16/89*
PSYCHIC PHENOMENON,Thing,1/16/89*
HEART-TO-HEART TALK,Thing,1/16/89*
CLASSICAL JAZZ,Thing,1/16/89*
NEW AND MICHAEL YORK,Same Name,1/17/89*
VICE PRESIDENT DAN QUAYLE,Person,1/17/89*
HAVEN'T SEEN HIDE NOR HAIR OF HIM,Phrase,1/17/89*
LEAVE NOTHING TO CHANCE,Phrase,1/17/89*
A CASE OF THE BLAHS,Phrase,1/19/89*
THE SHAPE OF THINGS TO COME,Phrase,1/19/89*
YEARS OF MEDICAL RESEARCH,Things,1/19/89*
TWENTY-TWENTY VISION,Thing,1/19/89*
I COULD HAVE DANCED ALL NIGHT,Phrase,1/19/89*
ROUGH-AND-TUMBLE,Phrase,2/1/89
REIGNING CHAMPION,Person,2/1/89
SOMEONE'S IN THE KITCHEN WITH DINAH,Title,2/1/89
TYPEWRITER RIBBON,Thing,2/1/89
HAVING YOUR HEAD IN THE CLOUDS,Phrase,2/2/89
ALL'S RIGHT WITH THE WORLD,Quotation,2/2/89
DRUM AND BUGLE CORPS,People,2/2/89
THOROUGHBRED RACEHORSE,Thing,2/2/89
HOT NEWS ITEM,Thing,2/2/89
OH NO NOT AGAIN,Phrase,1/23/89*
TAKING THE LAW INTO YOUR OWN HANDS,Phrase,1/23/89*
MYSTERY WRITER,Occupation,1/23/89*
ALL SQUARED AWAY,Phrase,1/23/89*
SIOUX INDIAN TRIBE,People,1/23/89*
DONNA AND THE LONG HOT SUMMER,Same Name,2/3/89
WEALTH OF EXPERIENCE,Phrase,2/3/89
A PICTURE'S WORTH A THOUSAND WORDS,Phrase,2/3/89
TARNISHED REPUTATION,Thing,2/3/89
LUCILLE AND DEBUTANTE BALL,Same Name,1/24/89*
FACING THE ISSUES,Phrase,1/24/89*
WINNER BY A UNANIMOUS DECISION,Phrase,1/24/89*
RAZZMATAZZ,Phrase,1/24/89*
NOTRE DAME'S FIGHTING IRISH,People,1/30/89*
SLAM ON THE BRAKES,Phrase,1/30/89*
HOW DO I LOVE THEE LET ME COUNT THE WAYS,Quotation,1/30/89*
KATE AND BUBBA SMITH,Same Name,1/30/89*
PINEAPPLE SHERBET,Thing,1/27/89
KARL AND GROUCHO MARX,Same Name,1/27/89
RADIO FREE EUROPE,Thing,1/27/89
REKINDLE AN OLD FLAME,Phrase,1/27/89
CLAIM TO FAME,Phrase,1/20/89
NFL MONDAY NIGHT FOOTBALL,Event,1/20/89
TEDDY ROOSEVELT'S ROUGH RIDERS,People,1/20/89
COMIN' IN ON A WING AND A PRAYER,Title,1/20/89
THOU SHALT NOT STEAL,Quotation,1/20/89
A MONTH OF SUNDAYS,Phrase,1/31/89*
FROM THE GROUND UP,Phrase,1/31/89*
ARTIFICIAL FLOWERS,Things,1/31/89*
BLUE AND FULL MOON,Same Name,1/31/89*
CIRCUS ACROBAT,Occupation,2/13/89*
IN-DEPTH KNOWLEDGE,Thing,2/13/89*
CHURCHILL AND HUGH DOWNS,Same Name,2/13/89*
OH BRING BACK MY BONNIE TO ME,Quotation,2/13/89*
TELEPHONE AND JOHN WILKES BOOTH,Same Name,2/16/89
WASHING MACHINE REPAIRMAN,Occupation,2/16/89
HEATED ARGUMENT,Thing,2/16/89
A GOOD NIGHT'S SLEEP,Thing,2/16/89
BLUEBERRY PIE,Thing,2/16/89
STICK OUT YOUR TONGUE AND SAY AH,Phrase,2/15/89*
ENGULFED IN FLAMES,Phrase,2/15/89*
FROM THE HALLS OF MONTEZUMA,Quotation,2/15/89*
OXYGEN TANK,Thing,2/15/89*
DON'T BITE YOUR FINGERNAILS,Phrase,2/15/89*
CRACKING JOKES,Phrase,2/6/89
THE CALIFORNIA RAISINS,Fictional Characters,2/6/89
FORWARDING ADDRESS,Thing,2/6/89
WORLD TRADE CENTER,Landmark,2/6/89
DANISH PASTRY,Thing,2/7/89
JONATHAN LIVINGSTON SEAGULL,Title,2/7/89
THE BUCK STOPS HERE,Quotation,2/7/89
ENDANGERED SPECIES,Thing,2/7/89
LOADS OF FUN,Phrase,2/8/89
IRVING AND WEST BERLIN,Same Name,2/8/89
CHAUFFEURED LIMOUSINE,Thing,2/8/89
GOOD MORNING AMERICA,Title,2/8/89
QUE SERA SERA WHATEVER WILL BE WILL BE,Quotation,2/8/89
THE STAR OF THE SHOW,Person,2/9/89
PROSPECTING FOR GOLD,Event,2/9/89
GRAND BAHAMA ISLAND,Place,2/9/89
TOO CLOSE FOR COMFORT,Phrase,2/9/89
LOLLIPOP,Thing,2/9/89
COLD AS ICE,Phrase,2/9/89
DONNA AND MINUTE RICE,Same Name,2/10/89
THE CRIMSON TIDE OF ALABAMA,People,2/10/89
SITUATION NORMAL ALL FOULED UP,Phrase,2/10/89
THEY GO HAND IN HAND,Phrase,2/10/89
LETTING OFF STEAM,Phrase,2/10/89
HAVING THE INSIDE TRACK,Phrase,1/25/89
THE SWISS FAMILY AND SUGAR RAY ROBINSON,Same Name,1/25/89
AT THE ELEVENTH HOUR,Phrase,1/25/89
INDIAN HEADDRESS,Thing,1/25/89
MAGAZINE SUBSCRIPTION,Thing,1/25/89
FOR YOUR INFORMATION,Phrase,2/17/89
CITY COUNCIL MEETING,Event,2/17/89
PECAN PIE WITH ICE CREAM,Things,2/17/89
DAVID AND WINTER FROST,Same Name,2/17/89
WELL IN ADVANCE,Phrase,2/17/89
COMING ON LIKE GANGBUSTERS,Phrase,1/18/89
FAR-FETCHED IDEA,Thing,1/18/89
HIS TRUTH IS MARCHING ON,Quotation,1/18/89
OLD AND YOUNG ALIKE,Phrase,1/18/89
ENTRY-LEVEL POSITION,Thing,1/18/89
NOTHING BUT THE BEST,Phrase,1/26/89
YOU'VE GOTTA HAVE HEART,Quotation,1/26/89
BAKED AND FAIRBANKS ALASKA,Same Name,1/26/89
VALENTINE CARD,Thing,1/26/89
A WALKING ENCYCLOPEDIA,Person,2/14/89
IN THE PUBLIC INTEREST,Phrase,2/14/89
FIFTIETH WEDDING ANNIVERSARY,Event,2/14/89
BOY SCOUT LEADER,Person,2/14/89
PROGRESS REPORT,Thing,2/14/89
AIR FORCE ONE,Thing,2/14/89
FOOTBALL AND NEW JERSEY,Same Name,2/20/89
MARLA GIBBS,Person,2/20/89
MARRY IN HASTE AND REPENT AT LEISURE,Phrase,2/20/89
WEIGHT WATCHERS,People,2/20/89
HUMBLE BEGINNINGS,Phrase,2/22/89
OLD KING AND NAT KING COLE,Same Name,2/22/89
IF THE TRUTH BE KNOWN,Phrase,2/22/89
DOWNHILL SKIER,Person,2/22/89
OPEN FOR BUSINESS,Phrase,2/21/89*
DOCTOR AND MISTER SPOCK,Same Name,2/21/89*
A GROOVY KIND OF LOVE,Title,2/21/89*
ELECTRONIC GADGETS,Things,2/21/89*
WEALTHY FRIENDS,People,2/21/89*
JOHANN AND LEVI STRAUSS,Same Name,2/23/89
DOWNRIGHT DANGEROUS,Phrase,2/23/89
THE WIND IN THE WILLOWS,Title,2/23/89
PLAINCLOTHES COPS,People,2/23/89
RATE OF INFLATION,Thing,2/23/89
TELL IT TO THE JUDGE,Phrase,2/24/89
ZONING ORDINANCE,Thing,2/24/89
MAX AND WIND CHILL FACTOR,Same Name,2/24/89
THROUGH THE PEARLY GATES,Phrase,2/24/89
TICKLED PINK LEMONADE,Before & After,2/27/89
SCATTERED TO THE WINDS,Phrase,2/27/89
PRINCESS CAROLINE OF MONACO,Person,2/27/89
ACCOUNT EXECUTIVE,Occupation,2/27/89
CAMPING OUT UNDER THE STARS,Event,3/3/89
A FRIENDLY PIECE OF ADVICE,Thing,3/3/89
IF MY MEMORY SERVES ME CORRECTLY,Phrase,3/3/89
AMAZING GRACE JONES,Before & After,3/3/89
HAS A LOT OF OOMPH,Phrase,3/10/89
MA HE'S MAKING EYES AT ME,Title,3/10/89
EVERYTHING HUMANLY POSSIBLE,Phrase,3/10/89
LAKE AND MOTHER SUPERIOR,Same Name,3/10/89
THE MARDI GRAS IN NEW ORLEANS,Event,3/6/89
FISHING ROD STEWART,Before & After,3/6/89
RALLY ROUND THE FLAG BOYS,Title,3/6/89
TAX CONSULTANT,Occupation,3/6/89
PASTEL COLORS,Things,3/1/89
I LOVE LUCY RERUNS,Things,3/1/89
HAZARDOUS TO YOUR HEALTH,Phrase,3/1/89
TEL AVIV ISRAEL,Place,3/1/89
THAT SPECIAL SOMEONE,Person,3/1/89
JAMES GARNER,Person,3/8/89
FOR EVERY MAN WOMAN AND CHILD,Phrase,3/8/89
LARRY KING OF HEARTS,Before & After,3/8/89
AVOID THE PITFALLS,Phrase,3/8/89
YOU CAN DEPEND ON ME,Phrase,3/2/89
MODERN ART CARNEY,Before & After,3/2/89
EQUAL PAY FOR EQUAL WORK,Phrase,3/2/89
REAL ESTATE AGENT,Occupation,3/2/89
TOM AND DIANE SAWYER,Same Name,3/2/89
NEIL DIAMOND HEAD,Before & After,3/9/89
MY COMPLIMENTS TO THE CHEF,Phrase,3/9/89
THE KINGDOM THE POWER AND THE GLORY,Phrase,3/9/89
STAND YOUR GROUND,Phrase,3/9/89
THE LEFT BANK OF PARIS,Place,2/28/89
AT THAT AWKWARD AGE,Phrase,2/28/89
PLACIDO AND SANTO DOMINGO,Same Name,2/28/89
HAWAIIAN VACATION,Event,2/28/89
MY FRIEND FLICKA,Title,2/28/89
JODIE FOSTER,Person,3/7/89
DOUBLE-EDGED SWORD,Phrase,3/7/89
QUINCY AND JOHN PAUL JONES,Same Name,3/7/89
YABBA-DABBA-DOO,Quotation,3/7/89
THE HEART OF THE MATTER,Phrase,3/21/89
WHITNEY HOUSTON TEXAS,Before & After,3/21/89
UNITED NEGRO COLLEGE FUND,Thing,3/21/89
I HAVE A CLOGGED DRAIN,Phrase,3/21/89
TOP-SEEDED TENNIS PLAYER,Person,3/21/89
MARILYN MONROE DOCTRINE,Before & After,4/20/89
NEW YORK CHEESECAKE,Thing,4/20/89
PAID A KING'S RANSOM,Phrase,4/20/89
WAFFLE AND CURLING IRON,Same Name,4/20/89
CARROLL O'CONNOR,Person,3/24/89*
WROUGHT IRON FENCE,Thing,3/24/89*
TED AND TINA TURNER,Same Name,3/24/89*
PARKING LOT TICKET VALIDATION,Thing,3/24/89*
METROPOLITAN AREA,Place,3/24/89*
GLENN CLOSE,Person,3/28/89*
KENNY AND MISTER ROGERS,Same Name,3/28/89*
MAY I SEE YOUR DRIVER'S LICENSE PLEASE,Phrase,3/28/89*
UNAUTHORIZED BIOGRAPHY,Thing,3/28/89*
LAND OF LINCOLN,Nickname,4/3/89
DARRYL STRAWBERRY ICE CREAM,Before & After,4/3/89
MOTHER TOLD ME THERE'D BE DAYS LIKE THIS,Phrase,4/3/89
EXPERT WITNESS,Person,4/3/89
PLUMB TUCKERED OUT,Phrase,4/3/89
MINNIE AND MICKEY MOUSE,Fictional Characters,3/17/89
YOUNGER THAN SPRINGTIME,Title,3/17/89
LEAVE YOUR MESSAGE AT THE SOUND OF THE BEEP,Phrase,3/17/89
EXHAUST FUMES,Things,3/17/89
A WOMAN OF INDEPENDENT MEANS,Title,3/14/89
PENNY MARSHALL,Person,3/14/89
YOU LOOK LIKE SOMEONE I USED TO KNOW,Phrase,3/14/89
COURTROOM DRAMA,Thing,3/14/89
JEFF AND BURNING BRIDGES,Same Name,3/14/89
OPRAH WINFREY,Person,3/15/89
IT MUST HAVE BEEN SOMETHING I ATE,Phrase,3/15/89
NEW DELHI INDIA,Place,3/15/89
JOHN WAYNE GRETZKY,Before & After,3/15/89
STAND-UP COMEDIAN,Person,3/23/89
DISC JOCKEY SHORTS,Before & After,3/23/89
TO DREAM THE IMPOSSIBLE DREAM,Quotation,3/23/89
PRESENCE OF MIND,Phrase,3/23/89
COLE AND TRAIN PORTER,Same Name,3/23/89
BO AND JOHN DEREK,People,3/16/89
WILLIAM TELL-OVERTURE,Title,3/16/89
A MUCH-NEEDED VACATION,Thing,3/16/89
PHYSICAL CONTACT,Thing,3/16/89
THAT'S HALF THE BATTLE,Phrase,3/16/89
GEOMETRY CLASS,People,3/16/89
FAIRY GODMOTHER,Fictional Character,3/22/89
THAT'S AN IRISH LULLABY,Quotation,3/22/89
THE CASE IS UNDER INVESTIGATION,Phrase,3/22/89
GEORGETOWN UNIVERSITY,Place,3/22/89
STATIC ELECTRICITY,Thing,4/7/89
CHARLIE AND AMERICAN PRIDE,Same Name,4/7/89
SO LONG IT'S BEEN GOOD TO KNOW YOU,Phrase,4/7/89
THE SAN ANDREAS FAULT,Thing,4/7/89
VEAL PARMIGIANA,Thing,4/7/89
ATTENTION GETTER,Phrase,3/20/89
ALL CIRCUITS ARE BUSY,Phrase,3/20/89
A WHALE OF A TALE,Title,3/20/89
THOMAS JEFFERSON'S MONTICELLO,Landmark,3/20/89
KEEP AN EYE OUT FOR,Phrase,3/31/89
WALTZ OF THE FLOWERS,Title,3/31/89
INDIANAPOLIS MOTOR SPEEDWAY,Place,3/31/89
HASTY AND BREAD PUDDING,Same Name,3/31/89
SWEAR ON A STACK OF BIBLES,Phrase,4/17/89
CONVENIENT LOCATION,Place,4/17/89
I'M GONNA WAIT TILL THE MIDNIGHT HOUR,Quotation,4/17/89
IMPRESSIONIST PAINTING,Thing,4/17/89
IT'S MY FIRM BELIEF,Phrase,4/4/89
VESTED INTERESTS,Phrase,4/4/89
BRIDGE OVER TROUBLED WATER,Title,4/4/89
CINCO DE MAYO,Event,4/4/89
TOOTSIE ROLL,Thing,3/30/89
ATMOSPHERIC PRESSURE,Thing,3/30/89
MORE THAN DOUBLED,Phrase,3/30/89
THE FRENCH FRANC,Thing,3/30/89
BOBBY AND MOVING VAN,Same Name,3/30/89
IF I HAD MY DRUTHERS,Phrase,3/29/89
ZURICH SWITZERLAND,Place,3/29/89
OLIVER TWIST OF LEMON,Before & After,3/29/89
PULLING OUT ALL THE STOPS,Phrase,3/29/89
QUEEN ELIZABETH TAYLOR,Before & After,3/27/89
THE ADVENTURES OF MARCO POLO,Events,3/27/89
NOT BEEN SEEN NOR HEARD FROM SINCE,Phrase,3/27/89
ROSEANNE BARR,Person,3/27/89
SEXUAL EQUALITY,Phrase,3/27/89
SLOWLY BUT SURELY,Phrase,4/6/89
PEKING AND DONALD DUCK,Same Name,4/6/89
THE WAR OF THE WORLDS,Title,4/6/89
NOBEL PRIZE-WINNING NOVELIST,Person,4/6/89
STOP FIDGETING,Phrase,3/13/89
UNDER A LOT OF PRESSURE,Phrase,3/13/89
MADE-FOR-TV MOVIE,Thing,3/13/89
SUPREME AND VOLLEYBALL COURT,Same Name,3/13/89
ANDY ROONEY,Person,4/5/89*
GETTING A HEAD START,Phrase,4/5/89*
TRANSATLANTIC VOYAGE,Event,4/5/89*
EGGS BENEDICT ARNOLD,Before & After,4/5/89*
ULTERIOR MOTIVES,Things,4/5/89*
HERE COMES PETER COTTONTAIL,Quotation,4/10/89*
GUILT BY ASSOCIATION,Phrase,4/10/89*
RIGHT BEFORE MY VERY EYES,Phrase,4/10/89*
JOHNNY AND COLD HARD CASH,Same Name,4/10/89*
KIRK DOUGLAS FAIRBANKS,Before & After,4/25/89*
THE PRINCESS AND THE PEA,Title,4/25/89*
BIDDING A FOND FAREWELL,Phrase,4/25/89*
EPICUREAN DELIGHT,Thing,4/25/89*
DOWN UNDER,Nickname,4/12/89*
SERGEANT AT ARMS,Person,4/12/89*
A LICK AND A PROMISE,Phrase,4/12/89*
MAIL ORDER CATALOG,Thing,4/12/89*
NO BED OF ROSES,Phrase,4/12/89*
SOUTHEAST ASIA,Place,4/12/89*
USC TROJANS,People,4/13/89
ON THE WARPATH,Phrase,4/13/89
CITY AND MONTY HALL,Same Name,4/13/89
FIDEL CASTRO,Person,4/13/89
WORTHY OF ATTENTION,Phrase,4/13/89
FOR THE UMPTEENTH TIME,Phrase,4/18/89
RICHMOND VIRGINIA GRAHAM,Before & After,4/18/89
BIZARRE BEHAVIOR,Thing,4/18/89
SMOTHERED IN ONIONS,Phrase,4/18/89
FOREIGN INTRIGUE,Phrase,4/27/89
DINAH SHORE PATROL,Before & After,4/27/89
WITH A MINIMAL AMOUNT OF EFFORT,Phrase,4/27/89
AMERICAN AIRLINES,Thing,4/27/89
TEXAS GRAPEFRUIT,Thing,4/27/89
ONE-UPMANSHIP,Phrase,4/19/89*
FREDDY AND AUTOMOTIVE FENDER,Same Name,4/19/89*
HAVING THE RUN OF THE HOUSE,Phrase,4/19/89*
ALIEN SPACESHIP,Thing,4/19/89*
ZEST FOR LIFE,Phrase,4/26/89*
BENNY AND BLUEBERRY HILL,Same Name,4/26/89*
THE HOOVER DAM,Landmark,4/26/89*
EUCALYPTUS TREE,Thing,4/26/89*
WHILE YOU WAIT,Phrase,4/26/89*
ISSUING AN ULTIMATUM,Phrase,4/28/89*
PUSHCART VENDOR,Occupation,4/28/89*
ALL HELL BROKE LOOSE,Phrase,4/28/89*
WILD GOOSE AND CHEVY CHASE,Same Name,4/28/89*
TIGHT WITH A BUCK,Phrase,4/28/89*
BIG GIRLS DON'T CRY,Title,4/11/89
HE HAS AN ATTITUDE PROBLEM,Phrase,4/11/89
RACHEL AND HOSPITAL WARD,Same Name,4/11/89
INDEPENDENTLY WEALTHY,Phrase,4/11/89
THE RIGHT OF FIRST REFUSAL,Phrase,5/22/89*
POCKET HANDKERCHIEF,Thing,5/22/89*
FRANK GIFFORD,Person,5/22/89*
BIBLICAL QUOTATIONS,Things,5/22/89*
DAMN AND NEW YORK YANKEES,Same Name,5/24/89*
AUTOMATIC TELLER MACHINE,Thing,5/24/89*
THAT'S NONE OF YOUR BUSINESS,Phrase,5/24/89*
THE VOLUNTEER STATE,Nickname,5/24/89*
I'VE LOOKED HIGH AND LOW,Phrase,5/3/89
NATIONAL AND BERT PARKS,Same Name,5/3/89
ROMANCE ON THE HIGH SEAS,Title,5/3/89
QUIT COMPLAINING,Phrase,5/3/89
SINGLE DOUBLE OR TRIPLE SCOOP,Phrase,5/1/89
ARMED TO THE TEETH,Phrase,5/1/89
AGENT NINETY-NINE AND MAXWELL SMART,Fictional Characters,5/1/89
KENTUCKY DERBY WINNER,Thing,5/1/89
FISHING FOR AN INVITATION,Phrase,5/25/89*
ANNAPOLIS MARYLAND,Place,5/25/89*
CAN'T SEE THE FOREST FOR THE TREES,Phrase,5/25/89*
BUDDY AND FILTHY RICH,Same Name,5/25/89*
LOOMING ON THE HORIZON,Phrase,5/26/89*
ROBERT STACK OF PANCAKES,Before & After,5/26/89*
PETER O'TOOLE IN LAWRENCE OF ARABIA,Person,5/26/89*
NATIONAL HONOR SOCIETY,People,5/26/89*
STICKS TO THE ROOF OF YOUR MOUTH,Phrase,5/29/89*
IN THE GOOD OLD SUMMERTIME,Title,5/29/89*
BORDEAUX FRANCE,Place,5/29/89*
WEALTH OF KNOWLEDGE,Phrase,5/29/89*
PRICED TO SELL,Phrase,4/21/89
THE BREAKFAST CLUB SANDWICH,Before & After,4/21/89
DEAR OLD GOLDEN RULE DAYS,Quotation,4/21/89
THAT HAS A FAMILIAR RING TO IT,Phrase,4/21/89
JACKIE AND MOUNT VERNON,Same Name,4/21/89
BEYOND A REASONABLE DOUBT,Phrase,4/24/89
STONEWALL AND KATE JACKSON,Same Name,4/24/89
MAKING THE MOST OF A BAD SITUATION,Phrase,4/24/89
BURLINGTON VERMONT,Place,4/24/89
QUICK AS A FLASH,Phrase,5/5/89
ANTHROPOLOGY PROFESSOR,Occupation,5/5/89
DON JOHNSON AND MELANIE GRIFFITH,People,5/5/89
SAME TIME SAME PLACE,Phrase,5/5/89
MINIATURE HORSE,Thing,5/5/89
ARSENIO HALL,Person,5/30/89*
ROMEO ROMEO WHEREFORE ART THOU ROMEO,Quotation,5/30/89*
DONALD DUCK SOUP,Before & After,5/30/89*
ON FINAL APPROACH FOR LANDING,Phrase,5/30/89*
BEAT A HASTY RETREAT,Phrase,4/14/89
ZORBA AND JIMMY THE GREEK,Same Name,4/14/89
MARK OF DISTINCTION,Phrase,4/14/89
CONCEIVED IN LIBERTY,Quotation,4/14/89
THE REASON I'M SO LATE IS WE RAN OUT OF GAS,Phrase,5/8/89
PUMPERNICKEL BREAD,Thing,5/8/89
HALE AND HEARTY,Phrase,5/8/89
EVEN STEVEN SPIELBERG,Before & After,5/8/89
BUDDING GENIUS,Person,5/9/89
MEXICAN CHIHUAHUA,Thing,5/9/89
THE STRAW THAT BROKE THE CAMEL'S BACK,Phrase,5/9/89
BLUE JAY LENO,Before & After,5/9/89
GREAT EXPECTATIONS,Title,5/10/89
DUSTIN HOFFMAN IN RAIN MAN,Person,5/10/89
THE VIENNA BOYS' CHOIR,People,5/10/89
WHITE WATER RAFTING,Event,5/10/89
POLICE LIEUTENANT COLUMBO,Fictional Character,5/11/89
HAS A FEW SCREWS LOOSE,Phrase,5/11/89
GREG MORRIS THE CAT,Before & After,5/11/89
SHIP'S CAPTAIN AND CREW,People,5/11/89
BRIGHT AND EARLY,Phrase,5/12/89
GETTING IN ON THE GROUND FLOOR,Phrase,5/12/89
LOS ANGELES CALIFORNIA,Place,5/12/89
MELBA TOAST OF THE TOWN,Before & After,5/12/89
ABOUT FACE FORWARD MARCH,Phrase,5/15/89
CARRIER AND STOOL PIGEON,Same Name,5/15/89
BREADED VEAL CUTLET,Thing,5/15/89
SALLY FIELD GOAL,Before & After,5/15/89
CARACAS VENEZUELA,Place,5/15/89
AT FIRST BLUSH,Phrase,5/16/89
TOM SAWYER AND BECKY THATCHER,Fictional Characters,5/16/89
MAXIMUM-SECURITY PRISON,Place,5/16/89
DUDLEY AND MARY TYLER MOORE,Same Name,5/16/89
BASKING IN THE SUN,Phrase,5/18/89
PICKET AND CRUISE LINE,Same Name,5/18/89
LIKE A HOUSE AFIRE,Phrase,5/18/89
BY INVITATION ONLY,Phrase,5/18/89
BILLIE JEAN AND BURGER KING,Same Name,5/19/89
LIFESTYLES OF THE RICH AND FAMOUS,Title,5/19/89
MATHEMATICAL EQUATION,Thing,5/19/89
HAS A MIND LIKE A STEEL TRAP,Phrase,5/19/89
FREUDIAN SLIP,Thing,5/19/89
BREAK OUT IN A COLD SWEAT,Phrase,5/23/89
SIR WALTER AND GEORGE C SCOTT,Same Name,5/23/89
PROFESSIONAL GOLFERS' ASSOCIATION,People,5/23/89
LIKE THERE'S NO TOMORROW,Phrase,5/23/89
PILLOW TALK,Title,6/1/89*
TREASURE AND HAIRY CHEST,Same Name,6/1/89*
PULLED THE RUG OUT FROM UNDER ME,Phrase,6/1/89*
BATTER'S BOX,Place,6/1/89*
OVERWHELMING ODDS,Phrase,6/1/89*
MARTIN MULL IT OVER,Before & After,5/31/89
A WOLF IN SHEEP'S CLOTHING,Phrase,5/31/89
CAUGHT RED-HANDED,Phrase,5/31/89
KOKOMO INDIANA,Place,5/31/89
LOW-CHOLESTEROL DIET,Thing,5/31/89
PHYSICALLY FIT,Phrase,6/2/89*
DEATH-DEFYING STUNTS,Things,6/2/89*
JESSE JACKSON MISSISSIPPI,Before & After,6/2/89*
STRONG AS AN OX,Phrase,6/2/89*
ROMANTIC TRIANGLE,People,6/2/89*
JIMMY DEAN MARTIN,Before & After,5/4/89
RUNNING TRUE TO FORM,Phrase,5/4/89
IT WILL MAKE YOUR HAIR STAND ON END,Phrase,5/4/89
DIET AND EXERCISE,Things,5/4/89
TAKE ME OUT TO THE BALL GAME,Title,6/6/89
THE LION'S SHARE,Phrase,6/6/89
DAYLIGHT SAVING TIME,Thing,6/6/89
OLIVIA NEWTON-JOHN KENNEDY,Before & After,6/6/89
PROGRESSIVE JAZZ,Thing,6/7/89
BILLY CRYSTAL CHANDELIER,Before & After,6/7/89
LONG-STANDING RELATIONSHIP,Thing,6/7/89
TORONTO BLUE JAYS,People,6/7/89
SHADY CHARACTER,Person,6/7/89
PECK'S BAD BOY,Title,6/5/89*
LANDSLIDE VICTORY,Event,6/5/89*
CANDLES ON A BIRTHDAY CAKE,Things,6/5/89*
SONG-AND-DANCE MAN,Person,6/5/89*
MEL GIBSON,Person,6/13/89
BEFORE DURING AND AFTER,Phrase,6/13/89
HEIGH-HO HEIGH-HO IT'S HOME FROM WORK WE GO,Quotation,6/13/89
QUALITY NOT QUANTITY,Phrase,6/13/89
MONEY CAN'T BUY ME LOVE,Quotation,6/16/89
THINGS ARE HEATING UP,Phrase,6/16/89
THE FLORIDA EVERGLADES,Place,6/16/89
GRIZZLY BEAR BRYANT,Before & After,6/16/89
LLOYD BEAU AND JEFF BRIDGES,People,6/8/89*
CANADIAN ROCKIES,Place,6/8/89*
THE EIFFEL TOWER'S ONE HUNDREDTH ANNIVERSARY,Event,6/8/89*
GETTING IN OVER YOUR HEAD,Phrase,6/8/89*
LIVE TO A RIPE OLD AGE,Phrase,6/9/89*
FOOTBALL AND TWENTY-MULE TEAM,Same Name,6/9/89*
INADMISSIBLE EVIDENCE,Thing,6/9/89*
I GOT SIDETRACKED,Phrase,6/9/89*
THE LITTLE TRAMP,Fictional Character,6/12/89*
SQUARE-CUT AND LEGS DIAMOND,Same Name,6/12/89*
STAMP OF APPROVAL,Phrase,6/12/89*
HIGH SCHOOL SENIORS,People,6/12/89*
SETTING THE STAGE,Phrase,6/12/89*
BURST INTO SONG,Phrase,6/14/89*
RENT-CONTROLLED APARTMENT,Place,6/14/89*
BRIGHAM AND LORETTA YOUNG,Same Name,6/14/89*
